Data;IdBuilding;IndividualAddress;GroupAddress;TelegramType;Value;ValueType;Description
2019-02-22 13:43:45.9700000;1;3.2.202;2/0/4;write      ;24.24;C°;C1/0/M101 TEMP
2019-02-22 13:44:58.7266667;1;3.3.201;2/1/10;write      ;24.28;C°;C1/0/U105 Temperatura
2019-02-22 13:45:26.0566667;1;3.2.202;2/0/2;write      ;30.98037;%;C1/0/M101 Umidità
2019-02-22 13:46:29.0100000;1;3.3.202;2/1/7;write      ;32.94115;%;C1/0/U101 Umidità
2019-02-22 13:47:24.2600000;1;3.1.201;2/0/1;write      ;638.72;ppm;C1/0/M102 CO2
2019-02-22 13:47:50.0233333;1;3.1.6;2/2/0;write      ;-30425.33;W;Produzione totale fotovoltaico
2019-02-22 13:49:36.9300000;1;3.2.202;2/0/0;write      ;472;ppm;C1/0/M101 CO2
2019-02-22 13:50:23.7633333;1;3.3.201;2/1/8;write      ;34.90194;%;C1/0/U105 Umidità
2019-02-22 13:51:25.2900000;1;3.3.202;2/1/0;write      ;476.8;ppm;C1/0/U101 C02
2019-02-22 13:51:58.4500000;1;3.1.201;2/0/3;write      ;34.90194;%;C1/0/M102 Umidità
2019-02-22 13:52:19.7366667;1;3.3.201;2/1/1;write      ;621.76;ppm;C1/0/U105 C02
2019-02-22 13:52:33.4033333;1;3.1.201;2/0/5;write      ;22.68;C°;C1/0/M102 TEMP
2019-02-22 13:53:04.1333333;1;3.3.202;2/1/9;write      ;24.14;C°;C1/0/U101 Temperatura
2019-02-22 13:53:45.8900000;1;3.2.202;2/0/4;write      ;24.32;C°;C1/0/M101 TEMP
2019-02-22 13:54:58.8400000;1;3.3.201;2/1/10;write      ;24.34;C°;C1/0/U105 Temperatura
2019-02-22 13:55:25.9566667;1;3.2.202;2/0/2;write      ;30.98037;%;C1/0/M101 Umidità
2019-02-22 13:56:29.1633333;1;3.3.202;2/1/7;write      ;32.94115;%;C1/0/U101 Umidità
2019-02-22 13:57:24.5966667;1;3.1.201;2/0/1;write      ;617.92;ppm;C1/0/M102 CO2
2019-02-22 13:57:49.6133333;1;3.1.6;2/2/0;write      ;-28413.41;W;Produzione totale fotovoltaico
2019-02-22 13:59:36.9133333;1;3.2.202;2/0/0;write      ;469.76;ppm;C1/0/M101 CO2
2019-02-22 14:00:24.0700000;1;3.3.201;2/1/8;write      ;34.90194;%;C1/0/U105 Umidità
2019-02-22 14:01:25.4200000;1;3.3.202;2/1/0;write      ;464.96;ppm;C1/0/U101 C02
2019-02-22 14:01:58.8466667;1;3.1.201;2/0/3;write      ;34.90194;%;C1/0/M102 Umidità
2019-02-22 14:02:20.0733333;1;3.3.201;2/1/1;write      ;610.88;ppm;C1/0/U105 C02
2019-02-22 14:02:33.8766667;1;3.1.201;2/0/5;write      ;22.7;C°;C1/0/M102 TEMP
2019-02-22 14:03:04.3700000;1;3.3.202;2/1/9;write      ;24.18;C°;C1/0/U101 Temperatura
2019-02-22 14:03:45.9533333;1;3.2.202;2/0/4;write      ;24.38;C°;C1/0/M101 TEMP
2019-02-22 14:04:59.1166667;1;3.3.201;2/1/10;write      ;24.4;C°;C1/0/U105 Temperatura
2019-02-22 14:05:25.9200000;1;3.2.202;2/0/2;write      ;30.98037;%;C1/0/M101 Umidità
2019-02-22 14:06:29.6166667;1;3.3.202;2/1/7;write      ;33.72547;%;C1/0/U101 Umidità
2019-02-22 14:07:25.0533333;1;3.1.201;2/0/1;write      ;589.76;ppm;C1/0/M102 CO2
2019-02-22 14:07:49.2033333;1;3.1.6;2/2/0;write      ;-27270.73;W;Produzione totale fotovoltaico
2019-02-22 14:09:36.9300000;1;3.2.202;2/0/0;write      ;418.88;ppm;C1/0/M101 CO2
2019-02-22 14:10:24.1866667;1;3.3.201;2/1/8;write      ;34.90194;%;C1/0/U105 Umidità
2019-02-22 14:11:25.5066667;1;3.3.202;2/1/0;write      ;446.72;ppm;C1/0/U101 C02
2019-02-22 14:11:59.1700000;1;3.1.201;2/0/3;write      ;34.90194;%;C1/0/M102 Umidità
2019-02-22 14:12:20.2400000;1;3.3.201;2/1/1;write      ;624.96;ppm;C1/0/U105 C02
2019-02-22 14:12:34.2033333;1;3.1.201;2/0/5;write      ;22.72;C°;C1/0/M102 TEMP
2019-02-22 14:13:04.5266667;1;3.3.202;2/1/9;write      ;24.18;C°;C1/0/U101 Temperatura
2019-02-22 14:13:45.9233333;1;3.2.202;2/0/4;write      ;24.42;C°;C1/0/M101 TEMP
2019-02-22 14:14:59.2733333;1;3.3.201;2/1/10;write      ;24.46;C°;C1/0/U105 Temperatura
2019-02-22 14:15:25.8800000;1;3.2.202;2/0/2;write      ;30.98037;%;C1/0/M101 Umidità
2019-02-22 14:16:29.6200000;1;3.3.202;2/1/7;write      ;33.72547;%;C1/0/U101 Umidità
2019-02-22 14:17:26.7800000;1;3.1.201;2/0/1;write      ;576;ppm;C1/0/M102 CO2
2019-02-22 14:17:49.3033333;1;3.1.6;2/2/0;write      ;-26651.94;W;Produzione totale fotovoltaico
2019-02-22 14:19:36.8600000;1;3.2.202;2/0/0;write      ;426.88;ppm;C1/0/M101 CO2
2019-02-22 14:20:24.4566667;1;3.3.201;2/1/8;write      ;35.68625;%;C1/0/U105 Umidità
2019-02-22 14:21:25.9166667;1;3.3.202;2/1/0;write      ;506.88;ppm;C1/0/U101 C02
2019-02-22 14:21:59.6100000;1;3.1.201;2/0/3;write      ;34.90194;%;C1/0/M102 Umidità
2019-02-22 14:21:59.8633333;1;3.3.202;2/1/7;write      ;34.90194;%;C1/0/U101 Umidità
2019-02-22 14:22:20.5866667;1;3.3.201;2/1/1;write      ;667.52;ppm;C1/0/U105 C02
2019-02-22 14:22:34.6600000;1;3.1.201;2/0/5;write      ;22.74;C°;C1/0/M102 TEMP
2019-02-22 14:23:04.8233333;1;3.3.202;2/1/9;write      ;24;C°;C1/0/U101 Temperatura
2019-02-22 14:23:45.8700000;1;3.2.202;2/0/4;write      ;24.32;C°;C1/0/M101 TEMP
2019-02-22 14:24:59.6433333;1;3.3.201;2/1/10;write      ;24.4;C°;C1/0/U105 Temperatura
2019-02-22 14:25:25.8833333;1;3.2.202;2/0/2;write      ;30.98037;%;C1/0/M101 Umidità
2019-02-22 14:27:25.7566667;1;3.1.201;2/0/1;write      ;560;ppm;C1/0/M102 CO2
2019-02-22 14:27:48.3900000;1;3.1.6;2/2/0;write      ;-25898.89;W;Produzione totale fotovoltaico
2019-02-22 14:29:36.8500000;1;3.2.202;2/0/0;write      ;416;ppm;C1/0/M101 CO2
2019-02-22 14:30:24.8833333;1;3.3.201;2/1/8;write      ;36.86272;%;C1/0/U105 Umidità
2019-02-22 14:31:26.2200000;1;3.3.202;2/1/0;write      ;518.72;ppm;C1/0/U101 C02
2019-02-22 14:31:59.8966667;1;3.1.201;2/0/3;write      ;34.90194;%;C1/0/M102 Umidità
